	room	message_count	num_of_players	onboarding_success_rate	final_success_rate	onboarding_types	onboarding_types_fine	game_types	final_agreement	most_common_tokens	onboarding_success_rate_coarse	final_success_rate_coarse	deli_correct	moderator_messages	submits_per_user	performance_gain	unique_tokens_count	tokens_count	submits_per_user	message_entropy	best_onboarding_score
7d925f49-3721-4095-b681-de9537cc81e5	7d925f49-3721-4095-b681-de9537cc81e5	39	4	0.5	0.625	Counter({'BIASED': 3, 'OTHER_ERROR': 1})	Counter({'8U': 3, 'BU': 1})	Counter({'BIASED': 2, 'CORRECT': 1, 'ALL_CHECKED': 1})	0.5	[('rule', 10), ('that', 9), ('would', 7), ('test', 6), ('think', 5)]	0.0	0.25	1	0	1.5	0.125	117	435	1.5	0.9705442472093994	0.5
c5b071e4-64f9-41b4-9fdc-0dccc7378023	c5b071e4-64f9-41b4-9fdc-0dccc7378023	44	3	0.6666666666666666	0.75	Counter({'BIASED + ODDS': 2, 'BIASED': 1})	Counter({'2U3': 2, '2U': 1})	Counter({'BIASED + ODDS': 3})	1.0	[('first', 13), ('need', 10), ('vowel', 9), ('rule', 8), ('think', 8)]	0.0	0.0	0	0	1.0	0.08333333333333337	117	507	1.0	0.9374033996762858	0.75
b2ae7f55-401a-484d-99a3-988dd7743c39	b2ae7f55-401a-484d-99a3-988dd7743c39	33	5	0.4	0.7	Counter({'BIASED': 3, 'None': 1, 'OTHER_ERROR': 1})	Counter({'E6': 3, 'None': 1, '65': 1})	Counter({'BIASED': 2, 'BIASED + ODDS': 2, 'CORRECT': 1})	0.4	[('rule', 11), ('flip', 7), ('even', 6), ('that', 6), ('doesnt', 6)]	0.0	0.2	1	0	1.4	0.29999999999999993	99	376	1.4	0.8826289772725071	0.5
fedfb026-19cd-4cf6-a8d4-04ca041c5291	fedfb026-19cd-4cf6-a8d4-04ca041c5291	19	2	0.75	1.0	Counter({'BIASED': 1, 'CORRECT': 1})	Counter({'4A': 1, 'A5': 1})	Counter({'CORRECT': 2})	1.0	[('number', 6), ('vowel', 5), ('even', 4), ('have', 4), ('rule', 3)]	0.5	1.0	0	0	2.0	0.25	46	161	2.0	0.9494520153879484	1.0
3d8aba1d-e122-44d5-bb70-458820129f15	3d8aba1d-e122-44d5-bb70-458820129f15	27	2	0.875	1.0	Counter({'BIASED + ODDS': 1, 'CORRECT': 1})	Counter({'U85': 1, 'U5': 1})	Counter({'CORRECT': 2})	1.0	[('think', 5), ('picked', 3), ('this', 3), ('with', 3), ('dont', 3)]	0.5	1.0	0	0	1.5	0.125	90	263	1.5	0.975119064940866	1.0
d863f1ea-1dc5-482a-9aff-c503e8ac87b1	d863f1ea-1dc5-482a-9aff-c503e8ac87b1	13	2	0.75	1.0	Counter({'BIASED': 1, 'CORRECT': 1})	Counter({'8E': 1, 'E5': 1})	Counter({'CORRECT': 2})	1.0	[('rule', 3), ('think', 2), ('with', 2), ('this', 2), ('right', 2)]	0.5	1.0	0	0	1.5	0.25	39	111	1.5	0.961236604722876	1.0
08f1f827-f181-403b-9e1d-0843a43e8a65	08f1f827-f181-403b-9e1d-0843a43e8a65	27	3	0.5833333333333334	0.5	Counter({'OTHER_ERROR': 2, 'BIASED': 1})	Counter({'7H': 1, '2A': 1, '7': 1})	Counter({'BIASED': 3})	1.0	[('this', 5), ('think', 3), ('thought', 3), ('sure', 3), ('side', 3)]	0.0	0.0	0	0	2.0	-0.08333333333333337	87	266	2.0	0.9882677137067537	0.75
6b30bea1-b811-469a-a57d-aa06677b8ae7	6b30bea1-b811-469a-a57d-aa06677b8ae7	14	2	0.5	0.75	Counter({'BIASED': 2})	Counter({'A4': 2})	Counter({'ALL_CHECKED': 1, 'CORRECT': 1})	0.5	[('need', 4), ('check', 4), ('test', 4), ('even', 3), ('right', 3)]	0.0	0.5	1	0	1.5	0.25	58	188	1.5	0.9852281360342516	0.5
ec8896c6-56fb-4187-a932-92ac6bbd6f49	ec8896c6-56fb-4187-a932-92ac6bbd6f49	19	3	0.8333333333333334	1.0	Counter({'CORRECT': 2, 'BIASED': 1})	Counter({'U9': 2, 'U4': 1})	Counter({'CORRECT': 3})	1.0	[('with', 4), ('select', 3), ('cart', 3), ('number', 3), ('letter', 3)]	0.6666666666666666	1.0	0	0	1.3333333333333333	0.16666666666666663	50	165	1.3333333333333333	0.92586289213821	1.0
17d41934-42a7-4bb3-aebf-c6cf7ba3ce52	17d41934-42a7-4bb3-aebf-c6cf7ba3ce52	43	5	0.55	0.5	Counter({'BIASED': 2, 'OTHER_ERROR': 2, 'ALL_CHECKED': 1})	Counter({'2U': 2, 'QU': 1, '5': 1, '2Q5U': 1})	Counter({'ALL_CHECKED': 5})	1.0	[('have', 10), ('four', 10), ('need', 10), ('that', 9), ('flip', 6)]	0.0	0.0	0	0	1.2	-0.050000000000000044	104	412	1.2	0.9890876446649369	0.75
44a41b61-89fa-409c-b8a3-766186d06873	44a41b61-89fa-409c-b8a3-766186d06873	31	3	0.5	0.75	Counter({'BIASED': 2, 'ALL_CHECKED': 1})	Counter({'6E': 2, '6F7E': 1})	Counter({'OTHER_ERROR': 3})	0.6666666666666666	[('rule', 7), ('even', 5), ('have', 3), ('flipping', 3), ('vowels', 3)]	0.0	0.0	0	0	2.0	0.25	82	228	2.0	0.9872379251113542	0.5
2e4ec628-8c4d-4058-83b0-f7142240fe7e	2e4ec628-8c4d-4058-83b0-f7142240fe7e	21	3	0.5	0.5	Counter({'OTHER_ERROR': 2, 'BIASED': 1})	Counter({'G': 1, '2A': 1, '7': 1})	Counter({'BIASED': 3})	1.0	[('cards', 3), ('even', 3), ('hello', 2), ('think', 2), ('correct', 2)]	0.0	0.0	0	0	2.0	0.0	15	79	2.0	0.8895951911673139	0.75
7b804cd2-fc91-420b-b707-d4453af1cb4c	7b804cd2-fc91-420b-b707-d4453af1cb4c	17	3	0.75	1.0	Counter({'CORRECT': 1, 'OTHER_ERROR': 1, 'BIASED': 1})	Counter({'U9': 1, 'U': 1, '2U': 1})	Counter({'CORRECT': 3})	1.0	[('back', 6), ('there', 3), ('vowel', 3), ('doesnt', 3), ('then', 3)]	0.3333333333333333	1.0	0	0	1.6666666666666667	0.25	45	157	1.6666666666666667	0.9437600120884533	1.0
074de597-b9e9-4186-ae35-261cc8ef46f7	074de597-b9e9-4186-ae35-261cc8ef46f7	36	4	0.5	0.75	Counter({'BIASED': 2, 'OTHER_ERROR': 1, 'ALL_CHECKED': 1})	Counter({'8A': 2, 'LA': 1, 'L8A5': 1})	Counter({'CORRECT': 2, 'ALL_CHECKED': 1, 'OTHER_ERROR': 1})	0.5	[('over', 12), ('cards', 7), ('turn', 7), ('rule', 6), ('that', 6)]	0.0	0.5	1	0	1.25	0.25	107	420	1.25	0.8920795639257109	0.5
ff16fd69-1457-4f35-b4a2-f1dc30fdc346	ff16fd69-1457-4f35-b4a2-f1dc30fdc346	52	4	0.625	0.5	Counter({'OTHER_ERROR': 4})	Counter({'A': 2, '3': 1, '4': 1})	Counter({'BIASED': 4})	1.0	[('vowel', 8), ('side', 7), ('even', 7), ('other', 6), ('rule', 6)]	0.0	0.0	0	0	1.5	-0.125	101	432	1.5	0.9854312989011089	0.75
7255f566-b267-448e-8bd3-32be62a7e030	7255f566-b267-448e-8bd3-32be62a7e030	81	5	0.75	0.8	Counter({'CORRECT': 2, 'BIASED': 1, 'ALL_CHECKED': 1, 'OTHER_ERROR': 1})	Counter({'U3': 2, 'U2': 1, 'U3V2': 1, 'U': 1})	Counter({'CORRECT': 3, 'BIASED': 2})	0.6	[('rule', 21), ('even', 20), ('have', 17), ('vowel', 13), ('number', 13)]	0.4	0.6	0	0	1.6	0.050000000000000044	145	851	1.6	0.8809711945329226	1.0
eb0db1d0-a094-4c5d-8449-895c4655e228	eb0db1d0-a094-4c5d-8449-895c4655e228	34	3	0.4166666666666667	0.75	Counter({'ALL_CHECKED': 1, 'ALL_INCORRECT': 1, 'OTHER_ERROR': 1})	Counter({'G3E4': 1, 'G4': 1, 'E': 1})	Counter({'OTHER_ERROR': 3})	1.0	[('think', 3), ('most', 3), ('like', 3), ('that', 3), ('thinking', 3)]	0.0	0.0	0	0	1.0	0.3333333333333333	93	252	1.0	0.9894304461792797	0.75
475db774-8642-4d86-aeef-52ea892fe7d5	475db774-8642-4d86-aeef-52ea892fe7d5	13	4	0.6875	0.9375	Counter({'OTHER_ERROR': 3, 'CORRECT': 1})	Counter({'A': 2, '6': 1, 'A3': 1})	Counter({'CORRECT': 3, 'OTHER_ERROR': 1})	0.75	[('card', 4), ('vowel', 4), ('chose', 3), ('does', 3), ('other', 3)]	0.25	0.75	0	0	1.25	0.25	46	168	1.25	0.9421567638998996	1.0
f9c3608a-b762-499c-a7b8-98546e3bc6e7	f9c3608a-b762-499c-a7b8-98546e3bc6e7	44	5	0.5	0.75	Counter({'BIASED': 2, 'OTHER_ERROR': 2, 'ALL_CHECKED': 1})	Counter({'2A': 2, '2': 1, '2PA7': 1, 'A': 1})	Counter({'BIASED + ODDS': 5})	1.0	[('think', 8), ('rule', 7), ('need', 5), ('vowel', 5), ('have', 5)]	0.0	0.0	0	0	1.6	0.25	76	322	1.6	0.9502516805938659	0.75
d1589fbc-f114-4f16-9bed-f4a34946a936	d1589fbc-f114-4f16-9bed-f4a34946a936	13	2	0.625	1.0	Counter({'BIASED': 1, 'OTHER_ERROR': 1})	Counter({'E2': 1, 'E': 1})	Counter({'CORRECT': 2})	1.0	[('should', 3), ('what', 2), ('this', 2), ('rule', 2), ('flip', 2)]	0.0	1.0	1	0	1.5	0.375	55	127	1.5	0.9957274520849256	0.75
36c2bdfa-dbae-4dbf-9968-064a833b89c0	36c2bdfa-dbae-4dbf-9968-064a833b89c0	24	3	0.3333333333333333	0.5	Counter({'OTHER_ERROR': 2, 'BIASED': 1})	Counter({'F': 2, 'E4': 1})	Counter({'OTHER_ERROR': 3})	1.0	[('number', 9), ('even', 8), ('would', 7), ('think', 7), ('have', 7)]	0.0	0.0	0	0	1.6666666666666667	0.16666666666666669	74	339	1.6666666666666667	0.915215349124177	0.5
21dc071c-0ea9-47b5-a519-2029d6578602	21dc071c-0ea9-47b5-a519-2029d6578602	47	4	0.5625	0.75	Counter({'BIASED': 2, 'OTHER_ERROR': 1, 'ALL_CHECKED': 1})	Counter({'8A': 2, 'A': 1, '78CA': 1})	Counter({'BIASED + ODDS': 4})	1.0	[('even', 9), ('its', 9), ('rule', 8), ('that', 8), ('number', 7)]	0.0	0.0	0	0	1.25	0.1875	90	385	1.25	0.9313011634073132	0.75
ae49ff3d-522e-40bb-9916-65749af4d72c	ae49ff3d-522e-40bb-9916-65749af4d72c	18	3	0.5	0.6666666666666666	Counter({'OTHER_ERROR': 2, 'BIASED': 1})	Counter({'U': 1, 'U8': 1, 'D58': 1})	Counter({'BIASED': 2, 'CORRECT': 1})	0.3333333333333333	[('think', 4), ('vowel', 3), ('what', 3), ('card', 3), ('first', 3)]	0.0	0.3333333333333333	1	0	1.3333333333333333	0.16666666666666663	48	139	1.3333333333333333	0.8929352898779305	0.75
9d20f806-f8ba-4cb4-bb00-484dbff57995	9d20f806-f8ba-4cb4-bb00-484dbff57995	24	4	0.375	0.4375	Counter({'OTHER_ERROR': 2, 'BIASED': 2})	Counter({'4': 2, '4U': 2})	Counter({'BIASED': 3, 'OTHER_ERROR': 1})	0.75	[('think', 4), ('hamster', 4), ('with', 4), ('should', 3), ('card', 3)]	0.0	0.0	0	0	1.5	0.0625	57	147	1.5	0.9477867202775714	0.5
3e700660-e1a8-4381-8604-ec6f58bbbca0	3e700660-e1a8-4381-8604-ec6f58bbbca0	42	4	0.625	0.75	Counter({'BIASED': 2, 'OTHER_ERROR': 2})	Counter({'E6': 2, 'E': 2})	Counter({'OTHER_ERROR': 4})	1.0	[('even', 10), ('think', 7), ('just', 7), ('rule', 6), ('vowel', 5)]	0.0	0.0	0	0	1.0	0.125	74	298	1.0	0.9135214398827883	0.75
862b4320-b1df-4ae1-a539-61023911edf1	862b4320-b1df-4ae1-a539-61023911edf1	26	3	0.8333333333333334	0.8333333333333334	Counter({'OTHER_ERROR': 2, 'CORRECT': 1})	Counter({'E': 2, '3E': 1})	Counter({'BIASED + ODDS': 2, 'CORRECT': 1})	0.6666666666666666	[('chose', 4), ('well', 4), ('only', 3), ('there', 3), ('morning', 2)]	0.3333333333333333	0.3333333333333333	0	0	1.3333333333333333	0.0	79	189	1.3333333333333333	0.9476787465325343	1.0
7066d14f-b313-426f-9aa2-f8f01a31bea2	7066d14f-b313-426f-9aa2-f8f01a31bea2	27	5	0.55	1.0	Counter({'OTHER_ERROR': 3, 'CORRECT': 1, 'BIASED': 1})	Counter({'A': 1, '3A': 1, '2A': 1, '2': 1, '23J': 1})	Counter({'CORRECT': 5})	1.0	[('think', 5), ('picked', 4), ('rule', 4), ('have', 4), ('that', 3)]	0.2	1.0	0	0	1.4	0.44999999999999996	61	189	1.4	0.9564142500056078	1.0
f2b424ac-e1b5-43a6-98d2-d45ea4e95ef8	f2b424ac-e1b5-43a6-98d2-d45ea4e95ef8	15	2	0.625	0.5	Counter({'BIASED + ODDS': 1, 'ALL_CHECKED': 1})	Counter({'4U9': 1, '4U9Q': 1})	Counter({'ALL_CHECKED': 2})	1.0	[('need', 4), ('check', 3), ('cards', 3), ('have', 3), ('flipped', 2)]	0.0	0.0	0	0	1.5	-0.125	40	114	1.5	0.9967916319816366	0.75
09b321d6-e6b9-446a-96af-79d89d66d71d	09b321d6-e6b9-446a-96af-79d89d66d71d	28	3	0.5	1.0	Counter({'OTHER_ERROR': 2, 'CORRECT': 1})	Counter({'L': 2, '3A': 1})	Counter({'CORRECT': 3})	1.0	[('that', 5), ('cards', 5), ('because', 4), ('other', 4), ('side', 4)]	0.3333333333333333	1.0	0	0	1.3333333333333333	0.5	77	237	1.3333333333333333	0.9919762630614621	1.0
4055602f-dfa6-4046-bcab-777bc97471a1	4055602f-dfa6-4046-bcab-777bc97471a1	7	2	0.5	0.5	Counter({'BIASED': 1, 'ALL_CHECKED': 1})	Counter({'6A': 1, '6HA9': 1})	Counter({'BIASED': 2})	1.0	[('think', 5), ('that', 2), ('have', 2), ('flip', 2), ('it’s', 2)]	0.0	0.0	0	0	1.0	0.0	46	118	1.0	0.9852281360342516	0.5
8ee27671-d613-4f96-9c68-31740671c691	8ee27671-d613-4f96-9c68-31740671c691	10	2	0.625	0.5	Counter({'BIASED': 1, 'OTHER_ERROR': 1})	Counter({'6E': 1, 'E': 1})	Counter({'BIASED': 2})	1.0	[('first', 2), ('yeah', 2), ('there', 1), ('chose', 1), ('cards', 1)]	0.0	0.0	0	0	1.0	-0.125	27	55	1.0	1.0	0.75
670a9d86-7bfd-449c-8641-c90ab43c9da9	670a9d86-7bfd-449c-8641-c90ab43c9da9	26	3	0.6666666666666666	0.5833333333333334	Counter({'OTHER_ERROR': 2, 'CORRECT': 1})	Counter({'8G5': 1, 'E': 1, 'E5': 1})	Counter({'OTHER_ERROR': 1, 'BIASED': 1, 'CORRECT': 1})	0.3333333333333333	[('rule', 13), ('with', 9), ('that', 8), ('even', 8), ('have', 7)]	0.3333333333333333	0.3333333333333333	0	0	2.0	-0.08333333333333326	94	426	2.0	0.882895126475	1.0
338c2869-0ab3-4400-b086-014788358786	338c2869-0ab3-4400-b086-014788358786	7	2	0.5	0.5	Counter({'BIASED': 1, 'OTHER_ERROR': 1})	Counter({'2A': 1, 'Z3': 1})	Counter({'ALL_CHECKED': 1, 'OTHER_ERROR': 1})	0.5	[('number', 4), ('would', 4), ('have', 3), ('card', 3), ('even', 3)]	0.0	0.0	0	0	1.0	0.0	39	145	1.0	0.9852281360342516	0.5
bd4a0c98-2f13-4f91-aabd-50bb99d515e9	bd4a0c98-2f13-4f91-aabd-50bb99d515e9	21	3	0.3333333333333333	1.0	Counter({'OTHER_ERROR': 1, 'ALL_INCORRECT': 1, 'BIASED': 1})	Counter({'65': 1, 'W6': 1, '6U': 1})	Counter({'CORRECT': 3})	1.0	[('chose', 3), ('think', 3), ('have', 3), ('hello', 2), ('agree', 2)]	0.0	1.0	1	0	2.3333333333333335	0.6666666666666667	33	123	2.3333333333333335	0.980315378922394	0.5
c21e07f9-9382-4fc8-b147-e114d8797c71	c21e07f9-9382-4fc8-b147-e114d8797c71	18	4	0.6875	0.625	Counter({'BIASED + ODDS': 2, 'BIASED': 1, 'OTHER_ERROR': 1})	Counter({'E83': 2, 'E8': 1, 'E': 1})	Counter({'BIASED': 2, 'OTHER_ERROR': 1, 'BIASED + ODDS': 1})	0.5	[('what', 5), ('chose', 4), ('think', 3), ('number', 2), ('doesnt', 2)]	0.0	0.0	0	0	1.0	-0.0625	35	104	1.0	0.977342973473178	0.75
f4848857-5c76-4052-8d5f-dc4c788e7268	f4848857-5c76-4052-8d5f-dc4c788e7268	28	2	0.625	0.75	Counter({'BIASED + ODDS': 1, 'BIASED': 1})	Counter({'3U6': 1, 'U6': 1})	Counter({'BIASED + ODDS': 2})	1.0	[('think', 5), ('have', 4), ('cards', 3), ('havent', 3), ('submit', 3)]	0.0	0.0	0	0	1.0	0.125	73	217	1.0	1.0	0.75
7c025b0e-87a8-4e8f-bc9d-6c7be1d5a484	7c025b0e-87a8-4e8f-bc9d-6c7be1d5a484	31	3	0.6666666666666666	0.75	Counter({'BIASED': 1, 'CORRECT': 1, 'OTHER_ERROR': 1})	Counter({'A2': 1, '7A': 1, 'H7': 1})	Counter({'BIASED + ODDS': 1, 'CORRECT': 1, 'ALL_CHECKED': 1})	0.3333333333333333	[('vowel', 7), ('feel', 7), ('rule', 7), ('other', 7), ('side', 7)]	0.3333333333333333	0.3333333333333333	0	0	2.3333333333333335	0.08333333333333337	134	545	2.3333333333333335	0.9554524262799171	1.0
217085ef-42a5-4ea9-bb15-90743bff1c0b	217085ef-42a5-4ea9-bb15-90743bff1c0b	47	4	0.375	0.5625	Counter({'BIASED': 2, 'OTHER_ERROR': 2})	Counter({'A8': 2, 'R': 1, 'R89': 1})	Counter({'BIASED': 3, 'OTHER_ERROR': 1})	0.75	[('with', 14), ('think', 12), ('that', 10), ('have', 8), ('other', 7)]	0.0	0.0	0	0	1.5	0.1875	103	477	1.5	0.9705678947559755	0.5
271f24f2-4b6a-41fb-ad7b-f85fb8765a33	271f24f2-4b6a-41fb-ad7b-f85fb8765a33	17	3	0.6666666666666666	1.0	Counter({'BIASED': 2, 'CORRECT': 1})	Counter({'4I': 2, '5I': 1})	Counter({'CORRECT': 3})	1.0	[('vowel', 6), ('turn', 5), ('number', 5), ('would', 4), ('over', 4)]	0.3333333333333333	1.0	0	0	1.0	0.33333333333333337	53	168	1.0	0.9437600120884533	1.0
05627bda-cc61-43bb-833f-90e6140074dc	05627bda-cc61-43bb-833f-90e6140074dc	26	3	0.6666666666666666	0.75	Counter({'OTHER_ERROR': 2, 'BIASED': 1})	Counter({'A': 2, 'A6': 1})	Counter({'BIASED + ODDS': 2, 'OTHER_ERROR': 1})	0.6666666666666666	[('flip', 6), ('rule', 4), ('vowel', 3), ('flipped', 3), ('need', 3)]	0.0	0.0	0	0	1.6666666666666667	0.08333333333333337	53	203	1.6666666666666667	0.9476787465325343	0.75
c47d75d6-98f9-4a03-a0b1-54b341849ffc	c47d75d6-98f9-4a03-a0b1-54b341849ffc	42	3	0.8333333333333334	0.75	Counter({'CORRECT': 2, 'BIASED': 1})	Counter({'7A': 2, '4A': 1})	Counter({'CORRECT': 1, 'ALL_CHECKED': 1, 'BIASED + ODDS': 1})	0.3333333333333333	[('vowel', 5), ('other', 4), ('with', 4), ('even', 4), ('cards', 3)]	0.6666666666666666	0.3333333333333333	0	0	1.0	-0.08333333333333337	93	286	1.0	0.989436013860858	1.0
e2aa0e79-0470-4b62-b9ad-ccceb5119392	e2aa0e79-0470-4b62-b9ad-ccceb5119392	33	3	0.75	0.5833333333333334	Counter({'OTHER_ERROR': 3})	Counter({'U': 2, '3MU': 1})	Counter({'OTHER_ERROR': 2, 'ALL_CHECKED': 1})	0.3333333333333333	[('even', 7), ('vowel', 7), ('number', 5), ('vowels', 5), ('check', 5)]	0.0	0.0	0	0	1.0	-0.16666666666666663	82	305	1.0	0.9349515363687579	0.75
aa612cd0-1684-46da-b77a-932945fe25f0	aa612cd0-1684-46da-b77a-932945fe25f0	18	4	0.3125	0.375	Counter({'BIASED': 2, 'OTHER_ERROR': 1, 'ALL_INCORRECT': 1})	Counter({'8U': 2, 'D': 1, '8D': 1})	Counter({'BIASED': 3, 'ALL_INCORRECT': 1})	0.75	[('cards', 8), ('have', 4), ('premise', 4), ('think', 4), ('that', 4)]	0.0	0.0	0	0	1.25	0.0625	64	246	1.25	0.9535998353544741	0.5
133533c6-b57c-4af3-b883-bcabebf64c0a	133533c6-b57c-4af3-b883-bcabebf64c0a	75	5	0.7	0.55	Counter({'BIASED': 2, 'OTHER_ERROR': 2, 'CORRECT': 1})	Counter({'A2': 2, '7': 1, 'A': 1, 'A7': 1})	Counter({'BIASED': 4, 'BIASED + ODDS': 1})	0.8	[('think', 9), ('that', 6), ('agree', 6), ('with', 6), ('vowel', 5)]	0.2	0.0	0	0	2.2	-0.1499999999999999	139	512	2.2	0.8681527188661691	1.0
9b2202b9-8bd8-42b6-b975-05a6730e9bac	9b2202b9-8bd8-42b6-b975-05a6730e9bac	31	3	0.6666666666666666	0.5	Counter({'OTHER_ERROR': 2, 'BIASED': 1})	Counter({'A4': 1, 'A': 1, '3': 1})	Counter({'ALL_CHECKED': 3})	1.0	[('other', 5), ('with', 5), ('that', 4), ('turn', 4), ('over', 4)]	0.0	0.0	0	0	1.0	-0.16666666666666663	84	276	1.0	0.9648412112801077	0.75
9fed0319-9f7c-40b8-aff5-009a98a1f193	9fed0319-9f7c-40b8-aff5-009a98a1f193	22	3	0.6666666666666666	1.0	Counter({'BIASED + ODDS': 1, 'BIASED': 1, 'OTHER_ERROR': 1})	Counter({'7A2': 1, 'A2': 1, 'A': 1})	Counter({'CORRECT': 3})	1.0	[('agreed', 3), ('have', 2), ('think', 2), ('thought', 1), ('because', 1)]	0.0	1.0	1	0	1.3333333333333333	0.33333333333333337	27	75	1.3333333333333333	0.7827759528141421	0.75
8a93c6ef-41bc-4ecd-9cf0-aa83c7dc6f7c	8a93c6ef-41bc-4ecd-9cf0-aa83c7dc6f7c	13	2	0.5	0.5	Counter({'BIASED': 2})	Counter({'2E': 2})	Counter({'BIASED': 2})	1.0	[('think', 4), ('what', 2), ('cards', 2), ('thats', 2), ('right', 2)]	0.0	0.0	0	0	1.0	0.0	65	158	1.0	0.961236604722876	0.5
